id,date,title,clean_text,corpus_source,sentiment_score,readability_index
4124,2026-07-19T23:00:00Z,Health Bill,Title: Health Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,14.9
2256,2018-10-15T23:00:00Z,DiGeorge Syndrome (Review and National Health Service Duty) Bill,Title: DiGeorge Syndrome (Review and National Health Service Duty) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.3,17.58
1873,2017-08-14T23:00:00Z,"Personal, Social, Health and Economic Education (Statutory Requirement) Bill","Title: Personal, Social, Health and Economic Education (Statutory Requirement) Bill | Summary: No summary available | Description: No description available",UK_Parliament_Bills_Enriched_Corpus,0.55,21.12
1799,2017-05-01T23:00:00Z,Regulation of Health and Social Care Professions Etc. Bill [HL],Title: Regulation of Health and Social Care Professions Etc. Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.8,17.89
1900,2017-04-27T23:00:00Z,Health Service Medical Supplies (Costs) Act 2017,Title: Health Service Medical Supplies (Costs) Act 2017 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,15.69
1903,2017-04-27T23:00:00Z,Health Services Commissioning (Equality and Accountability) Bill,Title: Health Services Commissioning (Equality and Accountability) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,2.4,21.59
1853,2017-04-27T23:00:00Z,International Trade and Investment (NHS Protection) Bill,Title: International Trade and Investment (NHS Protection) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.6,18.31
1886,2017-04-27T23:00:00Z,Perinatal Mental Illness (NHS Family Services) Bill,Title: Perinatal Mental Illness (NHS Family Services) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.05,18.96
1971,2017-04-27T23:00:00Z,Reproductive Health (Access to Terminations) Bill,Title: Reproductive Health (Access to Terminations) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.4,18.11
1870,2017-03-23T00:00:00Z,Providers of Health and Social Care (Schemes under Section 71 of the National Health Service Act 2006) Bill,Title: Providers of Health and Social Care (Schemes under Section 71 of the National Health Service Act 2006) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.8,16.88
1910,2017-02-23T00:00:00Z,National Health Service Staff (Reporting and Registration) Bill,Title: National Health Service Staff (Reporting and Registration) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.9
1915,2017-01-24T00:00:00Z,National Health Service Provision (Local Consultation) Bill,Title: National Health Service Provision (Local Consultation) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.96
1649,2016-05-12T23:00:00Z,Health and Safety Executive (Powers) Bill,Title: Health and Safety Executive (Powers) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.6,16.72
1678,2016-05-12T23:00:00Z,Health Services Commissioning (Equality and Accountability) (No. 2) Bill,Title: Health Services Commissioning (Equality and Accountability) (No. 2) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,2.4,16.63
1634,2016-05-12T23:00:00Z,Hospital Parking Charges (Exemption for Carers) Bill,Title: Hospital Parking Charges (Exemption for Carers) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.55,17.65
1648,2016-05-12T23:00:00Z,Mental Health (Independent Advocacy) (England) Bill,Title: Mental Health (Independent Advocacy) (England) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.4,18.8
1732,2016-05-12T23:00:00Z,National Health Service and Social Care (Commission) Bill,Title: National Health Service and Social Care (Commission) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.8,16.66
1632,2016-05-11T23:00:00Z,Access to Medical Treatments (Innovation) Act 2016,Title: Access to Medical Treatments (Innovation) Act 2016 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.55,17.65
1635,2016-03-24T00:00:00Z,NHS (Charitable Trusts Etc) Act 2016,Title: NHS (Charitable Trusts Etc) Act 2016 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.3,17.42
1612,2015-06-08T23:00:00Z,Medical Innovation Bill [HL],Title: Medical Innovation Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.55,17.79
