id,date,title,clean_text,corpus_source,sentiment_score,readability_index
4192,2026-06-23T00:00:00Z,UK Food Labelling (Country of Origin) Bill,Title: UK Food Labelling (Country of Origin) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.2,17
4203,2026-06-23T00:00:00Z,Vaccine Damage Payment Scheme (UK Covid-19 Inquiry) Bill,Title: Vaccine Damage Payment Scheme (UK Covid-19 Inquiry) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,-0.15,16.99
4200,2026-06-23T00:00:00Z,Welfare Reform Bill,Title: Welfare Reform Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.05,16
4174,2026-06-19T00:00:00Z,Short-term Leases (Disclosure of Information) Bill [HL],Title: Short-term Leases (Disclosure of Information) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.2,16.66
4172,2026-06-18T00:00:00Z,Cancer (Reporting and Strategy) Bill,Title: Cancer (Reporting and Strategy) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.05,17.2
4166,2026-06-18T00:00:00Z,Ceramics (Country of Origin Marking) Bill,Title: Ceramics (Country of Origin Marking) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.42
4158,2026-06-18T00:00:00Z,Citizenship Education Bill [HL],Title: Citizenship Education Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.58
4160,2026-06-18T00:00:00Z,Commercial Organisations and Public Authorities Duty (Human Rights and Environment) Bill [HL],Title: Commercial Organisations and Public Authorities Duty (Human Rights and Environment) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,20.57
4165,2026-06-18T00:00:00Z,Emergency and Life-saving Skills (Schools) Bill,Title: Emergency and Life-saving Skills (Schools) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.05,15.69
4168,2026-06-18T00:00:00Z,Fireworks Bill,Title: Fireworks Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,15.8
